 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Precio, 242.04 ,100%,,,,,,,,,,,
,,,,,,,,,,Costo, 202.00 ,83%,,,,,,,,,,,
,,,,,,,,,,Utilidad, 40.04 ,17%,,,,,,,,,,,
COTIZACION 023-01-1201,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
COD.,DESCRIPCION,UND,CANT.,PRECIO UNITARIO,PARCIAL,TOTALES,Proveedor,MANO DE OBRA,MATERIALES ,COSTO UNITARIO,CANTIDAD,SUB-TOTAL,% UTIL,%RIESGO,PRECIO UNITARIO,TOTAL,UTILIDAD UNITARIA,,,,,,
PARTIDA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.00,,,,,, S/ 2.04 ,,,,,,,,,,,,,,,,,
1.01,,GLB, 1.00 , 2.04 , 2.04 ,,SODIMAC, S/ 1.00 , S/ 1.00 , 2.00 , 1 , S/ 2.00 ,1%,1%, S/ 2.04 , S/ 2.04 , S/ 0.04 ,,,,,,
1.02,,M3, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.03,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.04,,M3, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.05,,M3, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.06,,M3, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.00,,,,,, S/ 240.00 ,,,,,,,,,,,,,,,,,
2.01,,DIA, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.02,,M3, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.03,,M3, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.04,,ML, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.05,,ML, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.06,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
