VALORIZACIÓN DE AVANCE DE OBRA,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cliente,Cliente ejemplo SAC,,Contrato base,,Valorizado período,,Valorizado acumulado,,Elaborado por,________________________,,,
Proyecto,Remodelación Oficinas Piso 3,,"S/. 132,500.00",,"S/. 23,530.00",,"S/. 35,839.00",,,,,,
Código,VAL-001,,,,,,,,Revisado por,________________________,,,
N.° valorización,1,,Adicionales netos,,Saldo por ejecutar,,Saldo por pagar,,,,,,
Periodo,Mes 1,,"S/. 2,060.00",,"S/. 98,721.00",,"S/. 12,309.00",,Aprobado por,________________________,,,
Fecha de corte,2026-03-16,,,,,,,,,,,,
Estado,Borrador,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen económico,,,,,Partidas valorizadas del período,,,,,,,,
Monto contratado,"S/. 132,500.00",,,,Código,Partida,Monto contratado,Avance período %,Valorizado período,Saldo,,,
Adicionales,"S/. 3,200.00",,,,ARQ-01,Demoliciones menores, S/ 450.00 ,35%,"S/. 1,950.00","S/. 1,950.00",,,
Deductivos,"S/. 1,140.00",,,,ARQ-02,Tabiquería drywall," S/ 3,420.00 ",30%,"S/. 11,970.00","S/. 11,970.00",,,
Contrato actualizado,"S/. 134,560.00",,,,ARQ-03,Cielorraso," S/ 1,116.00 ",10%,"S/. 10,044.00","S/. 10,044.00",,,
Valorizado del período,"S/. 23,530.00",,,,ARQ-04,Piso porcelanato," S/ 3,894.00 ",30%,"S/. 18,172.00","S/. 18,172.00",,,
Valorizado acumulado,"S/. 35,839.00",,,,ARQ-05,Pintura general," S/ 4,080.00 ",30%,"S/. 9,520.00","S/. 9,520.00",,,
Pagado acumulado,"S/. 23,530.00",,,,ELE-01,Red eléctrica," S/ 2,775.00 ",40%,"S/. 11,100.00","S/. 11,100.00",,,
Saldo por pagar,"S/. 12,309.00",,,,SAN-01,Adecuación sanitaria," S/ 1,840.00 ",20%,"S/. 7,360.00","S/. 7,360.00",,,
Saldo por ejecutar,"S/. 98,721.00",,,,MOB-01,Carpintería fija, S/ 740.00 ,15%,"S/. 12,580.00","S/. 12,580.00",,,
% avance económico,26.6%,,,,VID-01,Mamparas y vidrio," S/ 4,095.00 ",25%,"S/. 12,285.00","S/. 12,285.00",,,
,,,,,FIN-01,Limpieza y cierre," S/ 1,120.00 ",40%,"S/. 1,680.00","S/. 1,680.00",,,
Progreso económico,,,,,,,,,,,,,
Avance acumulado,26.6%,,,,,,,,,,,,
Pendiente,73.4%,,,,,,,,,,,,
