PRESUPUESTO BASE,,,,,,,,,,
,,,,,,,,,,
Ítem,Código,Tipo de ítem,Partida,Unidad,Metrado contratado,Precio unitario,Subtotal contratado,Peso %,Responsable,Observaciones
1,ARQ-01,Partida,Demoliciones menores,m²,120.00,S/. 25.00,"S/. 3,000.00",2.3%,Contratista,
2,ARQ-02,Partida,Tabiquería drywall,m²,180.00,S/. 95.00,"S/. 17,100.00",12.9%,Contratista,
3,ARQ-03,Partida,Cielorraso,m²,180.00,S/. 62.00,"S/. 11,160.00",8.4%,Contratista,
4,ARQ-04,Partida,Piso porcelanato,m²,220.00,S/. 118.00,"S/. 25,960.00",19.6%,Contratista,
5,ARQ-05,Partida,Pintura general,m²,850.00,S/. 16.00,"S/. 13,600.00",10.3%,Contratista,
6,ELE-01,Partida,Red eléctrica,gl,1.00,"S/. 18,500.00","S/. 18,500.00",14.0%,Contratista,
7,SAN-01,Partida,Adecuación sanitaria,gl,1.00,"S/. 9,200.00","S/. 9,200.00",6.9%,Contratista,
8,MOB-01,Partida,Carpintería fija,gl,1.00,"S/. 14,800.00","S/. 14,800.00",11.2%,Contratista,
9,VID-01,Partida,Mamparas y vidrio,m²,42.00,S/. 390.00,"S/. 16,380.00",12.4%,Contratista,
10,FIN-01,Partida,Limpieza y cierre,gl,1.00,"S/. 2,800.00","S/. 2,800.00",2.1%,Contratista,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,-,0.0%,,
,,,,,,,,,,
,,,,,,Total,"S/. 132,500.00",,,
