RESUMEN DE VALORIZACIÓN,,,,,,,,,,
,,,,,,,,,,
KPIs,,,,Partidas con movimiento en el período,,,,,,
Monto contratado,"S/. 132,500.00",,,Código,Partida,Val. período,Avance período %,Val. acumulado,Saldo,Saldo
Valorizado del período,"S/. 23,530.00",,,ARQ-01,Demoliciones menores,450,35%,1050,1950,"S/. 1,950.00"
Valorizado acumulado,"S/. 35,839.00",,,ARQ-02,Tabiquería drywall,3420,30%,5130,11970,"S/. 11,970.00"
Adicionales aprobados,"S/. 3,200.00",,,ARQ-03,Cielorraso,1116,10%,1116,10044,"S/. 10,044.00"
Deductivos aprobados,"S/. 1,140.00",,,ARQ-04,Piso porcelanato,3894,30%,7788,18172,"S/. 18,172.00"
Contrato actualizado,"S/. 134,560.00",,,ARQ-05,Pintura general,4080,30%,4080,9520,"S/. 9,520.00"
Pagado acumulado,"S/. 23,530.00",,,ELE-01,Red eléctrica,2775,40%,7400,11100,"S/. 11,100.00"
Saldo por pagar,"S/. 12,309.00",,,SAN-01,Adecuación sanitaria,1840,20%,1840,7360,"S/. 7,360.00"
Saldo por ejecutar,"S/. 98,721.00",,,MOB-01,Carpintería fija,740,15%,2220,12580,"S/. 12,580.00"
% avance económico acumulado,26.6%,,,VID-01,Mamparas y vidrio,4095,25%,4095,12285,"S/. 12,285.00"
,,,,FIN-01,Limpieza y cierre,1120,40%,1120,1680,"S/. 1,680.00"
,,,,,,,,,,
Composición del contrato,,,,Progreso,,,,,,
Contrato base,"S/. 132,500.00",,,Avance económico,26.6%,,,,,
Adicionales,"S/. 3,200.00",,,Pendiente,73.4%,,,,,
Deductivos,"S/. 1,140.00",,,,,,,,,
