VALORIZACIÓN DEL PERÍODO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ítem,Código,Partida,Unidad,Metrado contratado,Precio unitario,Monto contratado,Avance anterior %,Avance del período %,Avance acumulado %,Metrado ejecutado del período,Metrado ejecutado acumulado,Monto valorizado anterior,Monto valorizado del período,Monto valorizado acumulado,Saldo por ejecutar,Estado,Observaciones,Movimiento idx
1,ARQ-01,Demoliciones menores,m²,120.00,S/. 25.00,"S/. 3,000.00",20.0%,15.0%,35.0%,18.00,42.00,S/. 600.00,S/. 450.00,"S/. 1,050.00","S/. 1,950.00",Revisado,,1
2,ARQ-02,Tabiquería drywall,m²,180.00,S/. 95.00,"S/. 17,100.00",10.0%,20.0%,30.0%,36.00,54.00,"S/. 1,710.00","S/. 3,420.00","S/. 5,130.00","S/. 11,970.00",Revisado,,2
3,ARQ-03,Cielorraso,m²,180.00,S/. 62.00,"S/. 11,160.00",0.0%,10.0%,10.0%,18.00,18.00,-,"S/. 1,116.00","S/. 1,116.00","S/. 10,044.00",Revisado,,3
4,ARQ-04,Piso porcelanato,m²,220.00,S/. 118.00,"S/. 25,960.00",15.0%,15.0%,30.0%,33.00,66.00,"S/. 3,894.00","S/. 3,894.00","S/. 7,788.00","S/. 18,172.00",Revisado,,4
5,ARQ-05,Pintura general,m²,850.00,S/. 16.00,"S/. 13,600.00",0.0%,30.0%,30.0%,255.00,255.00,-,"S/. 4,080.00","S/. 4,080.00","S/. 9,520.00",Revisado,,5
6,ELE-01,Red eléctrica,gl,1.00,"S/. 18,500.00","S/. 18,500.00",25.0%,15.0%,40.0%,0.15,0.40,"S/. 4,625.00","S/. 2,775.00","S/. 7,400.00","S/. 11,100.00",Revisado,,6
7,SAN-01,Adecuación sanitaria,gl,1.00,"S/. 9,200.00","S/. 9,200.00",0.0%,20.0%,20.0%,0.20,0.20,-,"S/. 1,840.00","S/. 1,840.00","S/. 7,360.00",Revisado,,7
8,MOB-01,Carpintería fija,gl,1.00,"S/. 14,800.00","S/. 14,800.00",10.0%,5.0%,15.0%,0.05,0.15,"S/. 1,480.00",S/. 740.00,"S/. 2,220.00","S/. 12,580.00",Revisado,,8
9,VID-01,Mamparas y vidrio,m²,42.00,S/. 390.00,"S/. 16,380.00",0.0%,25.0%,25.0%,10.50,10.50,-,"S/. 4,095.00","S/. 4,095.00","S/. 12,285.00",Revisado,,9
10,FIN-01,Limpieza y cierre,gl,1.00,"S/. 2,800.00","S/. 2,800.00",0.0%,40.0%,40.0%,0.40,0.40,-,"S/. 1,120.00","S/. 1,120.00","S/. 1,680.00",Revisado,,10
